父母	fùmǔ
写	xiě
人类	rénlèi
至于	zhìyū
买	mǎi
尤其	yóuqí
配合	pèihé
进入	jìnrù
例如	lìrú
得	děi
讨论	tǎolùn
依	yī
作品	zuòpǐn
情形	qíngxíng
资源	zīyuán
原因	yuányīn
啦	lā
妳	nǐ
运动	yùndòng
观念	guānniàn
给	gěi
软体	ruǎntǐ
品质	pǐnzhí
经过	jīngguò
如此	rúcǐ
嗯	ēn
精神	jīngshén
影响	yǐngxiǎng
之	zhī
过	guò
好像	hǎoxiàng
成	chéng
参与	cānyū
以后	yǐhòu
于是	yūshì
部分	bùfèn
另外	lìngwài
公园	gōngyuán
透过	tòuguò
训练	xùnliàn
努力	nǔlì
研究	yánjiù
具有	jùyǒu
共同	gòngtóng
所谓	suǒwèi
下	xià
行为	xíngwéi
合作	hézuò
经	jīng
合作	hézuò
目标	mùbiāo
起来	qǐlái
考虑	kǎolù
长	cháng
意见	yìjiàn
办法	bànfǎ
音乐	yīnyuè
连	lián
受	shòu
厂商	chǎngshāng
只	zhī
受到	shòudào
一切	yīqiè
或是	huòshì
中央	zhōngyāng
某	mǒu
女性	nǔxìng
教学	jiāoxué
极	jí
获得	huòdé
真的	zhēnde
路	lù
来	lái
快	kuài
国小	guóxiǎo
部份	bùfèn
工程	gōngchéng
女人	nǔrén
举行	jǔxíng
句	jù
只是	zhǐshì
段	duàn
根据	gēnjù
现象	xiànxiàng
人民	rénmín
土地	tǔdì
面对	miànduì
注意	zhùyì
这里	zhèlǐ
新闻	xīnwén
继续	jìxù
相信	xiāngxìn
政策	zhèngcè
变成	biànchéng
计划	jìhuà
强调	qiángdiào
学	xué
人士	rénshì
前	qián
前	qián
存在	cúnzài
制度	zhìdù
意义	yìyì
代表	dàibiǎo
课程	kèchéng
该	gāi
没	méi
至	zhì
需求	xūqiú
人生	rénshēng
那些	nǎxiē
成功	chénggōng
爸爸	bàbà
产业	chǎnyè
负责	fùzé
民间	mínjiān
虽	suī
影响	yǐngxiǎng
直接	zhíjiē
几乎	jīhū
分	fèn
实际	shíjì
团体	tuántǐ
价值	jiàzhí
使得	shǐdé
类	lèi
形成	xíngchéng
科技	kējì
这么	zhèmo
当	dāng
七	qī
不但	búdàn
往	wǎng
本身	běnshēn
标准	biāozhǔn
似乎	sìhū
应用	yìngyòng
或者	huòzhě
动物	dòngwù
电话	diànhuà
态度	tàidù
建设	jiànshè
事业	shìyè
老	lǎo
那么	nàmo
常常	chángcháng
字	zì
坐	zuò
举办	jǔbàn
自我	zìwǒ
有的	yǒude
具	jù
目的	mùdì
块	kuài
条件	tiáojiàn
即使	jíshǐ
好	hǎo
十分	shífēn
多少	duōshǎo
放	fàng
又	yòu
电影	diànyǐng
科学	kēxué
执行	zhíxíng
边	biān
委员会	wěiyuánhuì
沟通	gōutōng
开	kāi
一起	yīqǐ
张	zhāng
针对	zhēnduì
员工	yuángōng
引起	yǐnqǐ
自然	zìrán
那么	nàmo
安全	ānquán
总统	zǒngtǒng
此外	cǐwài
拥有	yǒngyǒu
并且	bìngqiě
事件	shìjiàn
设计	shèjì
研究所	yánjiùsuǒ
语言	yǔyán
严重	yánzhòng
故事	gùshì
学术	xuéshù
片	piàn
设备	shèbèi
之外	zhīwài
车	chē
基本	jīběn
实在	shízài
久	jiǔ
套	tào
达到	dádào
改善	gǎishàn
死	sǐ
结构	jiégòu
住	zhù
皆	jiē
改变	gǎibiàn
拿	ná
小组	xiǎozǔ
支持	zhīchí
座	zuò
医院	yīyuàn
既	jì
仅	jǐn
值得	zhíde
学者	xuézhě
八	bā
交通	jiāotōng
阶段	jiēduàn
就是	jiùshì
申请	shēnqǐng
主管	zhǔguǎn
申请	shēnqǐng
同	tóng
感觉	gǎnjué
电视	diànshì
母亲	mǔqīn
嘛	má
香港	xiānggǎng
记者	jìzhě
压力	yālì
快乐	kuàilè
喝	hē
敢	gǎn
院	yuàn
也许	yěxǔ
人们	rénmen
谈	tán
生产	shēngchǎn
怕	pà
就	jiù
身体	shēntǐ
规定	guīdìng
程度	chéngdù
积极	jījí
知识	zhīshì
作为	zuòwéi
机构	jīgòu
而是	érshì
鼓励	gǔlì
角色	jiǎosè
状况	zhuàngkuàng
专家	zhuānjiā
据	jù
清楚	qīngchǔ
不仅	bùjǐn
比赛	bǐsài
玩	wán
效果	xiàoguǒ
越	yuè
保护	bǎohù
共	gòng
开放	kāifàng
附近	fùjìn
上	shàng
父亲	fùqīn
专业	zhuānyè
经费	jīngfèi
曾经	céngjīng
工作	gōngzuò
愿意	yuànyì
分别	fēnbié
重视	zhòngshì
不少	bùshǎo
欢迎	huānyíng
小孩	xiǎohái
小时	xiǎoshí
中国人	zhōngguórén
显示	xiǎnshì
中共	zhōnggòng
出	chū
男人	nánrén
避免	bìmiǎn
属于	shǔyū
实施	shíshī
声音	shēngyīn
主义	zhǔyì
行动	xíngdòng
不可	bùkě
只有	zhǐyǒu
校园	xiàoyuán
兴趣	xìngqù
山	shān
表现	biǎoxiàn
得	dé
回来	huílái
主任	zhǔrèn
里面	lǐmiàn
经常	jīngcháng
不再	búzài
电子	diànzǐ
受	shòu
思想	sīxiǎng
头	tóu
终于	zhōngyū
谢谢	xièxiè
协助	xiézhù
除	chú
当地	dāngdì
正式	zhèngshì
真正	zhēnzhèng
低	dī
性	xìng
份	fèn
因素	yīnsù
推出	tuīchū
上	shàng
价格	jiàgé
去	qù
认识	rènshì
方向	fāngxiàng
责任	zérèn
说明	shuōmíng
工业	gōngyè
大量	dàliàng
做	zuò
逐渐	zhújiàn
心理	xīnlǐ
一点	yīdiǎn
供	gōng
须	xū
简单	jiǎndān
运用	yùnyòng
观察	guānchá
往往	wǎngwǎng
规划	guīhuà
减少	jiǎnshǎo
重新	chóngxīn
业务	yèwù
报导	bàodǎo
仍然	réngrán
感到	gǎndào
开放	kāifàng
领域	lǐngyū
有效	yǒuxiào
女	nǔ
要	yào
从事	cóngshì
发挥	fāhuī
人才	réncái
反而	fǎnér
行政	xíngzhèng
银行	yínháng
公共	gōnggòng
媒体	méitǐ
提高	tígāo
代	dài
自然	zìrán
社区	shèqū
力量	lìliàng
啊	ā
教育部	jiàoyūbù
愈	yū
超过	chāoguò
维持	wéichí
家长	jiāzhǎng
结合	jiéhé
校长	xiàozhǎng
通常	tōngcháng
缺乏	quēfá
委员	wěiyuán
特色	tèsè
结果	jiéguǒ
有时	yǒushí
教师	jiàoshī
之前	zhīqián
远	yuǎn
控制	kòngzhì
本	běn
否则	fǒuzé
法	fǎ
少	shǎo
原则	yuánzé
要	yào
脸	liǎn
通过	tōngguò
建议	jiànyì
工具	gōngjù
作业	zuòyè
达	dá
节目	jiémù
智慧	zhìhuì
来自	láizì
而	ér
变化	biànhuà
同样	tóngyàng
形式	xíngshì
站	zhàn
以为	yǐwéi
健康	jiànkāng
担任	dānrèn
人口	rénkǒu
规划	guīhuà
刚	gāng
特殊	tèshū
原来	yuánlái
道	dào
分	fēn
传统	chuántǒng
总是	zǒngshì
前往	qiánwǎng
投资	tóuzī
加强	jiāqiáng
不断	búduàn
对象	duìxiàng
追求	zhuīqiú
加上	jiāshàng
比	bǐ
思考	sīkǎo
制作	zhìzuò
台北市	táiběishì
取得	qǔdé
出来	chūlái
加入	jiārù
台	tái
安排	ānpái
儿童	értóng
国中	guózhōng
范围	fànwéi
老人	lǎorén
双方	shuāngfāng
牠	tā
北京	běijīng
年轻	niánqīng
结束	jiéshù
教	jiāo
程式	chéngshì
妇女	fùnǔ
找到	zhǎodào
彼此	bǐcǐ
全球	quánqiú
成本	chéngběn
回到	huídào
部	bù
而已	éryǐ
之下	zhīxià
等	děng
变	biàn
期间	qíjiān
非	fēi
小姐	xiǎojiě
整体	zhěngtǐ
采用	cǎiyòng
根本	gēnběn
叫	jiào
欧洲	ōuzhōu
正在	zhèngzài
加以	jiāyǐ
充满	chōngmǎn
系列	xìliè
随着	suízhe
早	zǎo
等等	děngděng
颇	pǒ
不足	bùzú
总	zǒng
分析	fēnxī
深	shēn
报告	bàogào
不错	búcuò
在于	zàiyū
旁	páng
笑	xiào
故	gù
消费者	xiāofèizhě
意识	yìshì
公尺	gōngchǐ
民族	mínzú
为主	wéizhǔ
大众	dàzhòng
到底	dàodǐ
愿	yuàn
度	dù
大概	dàgài
对方	duìfāng
官员	guānyuán
发表	fābiǎo
进一步	jìnyībù
自由	zìyóu
正确	zhèngquè
丰富	fēngfù
国民党	guómíndǎng
战争	zhànzhēng
怎么样	zěnmeyàng
只好	zhǐhǎo
明显	míngxiǎn
改革	gǎigé
表达	biǎodá
肯定	kěndìng
强	qiáng
高兴	gāoxìng
哪	nǎ
树	shù
适合	shìhé
茶	chá
别	bié
国外	guówài
关心	guānxīn
苏联	sūlián
成绩	chéngjī
人物	rénwù
听到	tīngdào
创造	chuàngzào
不必	búbì
不论	búlùn
尚	shàng
居民	jūmín
不管	bùguǎn
美丽	měilì
伊拉克	yīlākè
带来	dàilái
有	yǒu
般	bān
永远	yǒngyuǎn
感情	gǎnqíng
儿子	érzi
这样子	zhèyàngzi
起	qǐ
全部	quánbù
